Sel;ID;Cat;Subcat;Nome;Len;Prezzo;Iva;"Dispo gg.";"In Ordine";Insert;Uscita;Promo_Cod;Promo_Desc;Promo_Scad;Link
;253496;Fotografia;"Filtri Fotografici";"NiSi - JetMag Pro 82MAG True Color CPL, filtro magnetico circolare polarizzatore lente - Vetro ottico nano rivestito, telaio in ";128;99,90;22;5;;2025-02-24;2025-02-24;;;;;
;253756;Fotografia;"Filtri Fotografici";"NiSi 67mm Circular Starter Filter Kit, Including HUC UV Filter, HUC CPL and Filter Pouch";88;95,00;22;5;;2025-03-10;2025-03-10;;;;;
;253860;Fotografia;"Filtri Fotografici";"NiSi 77mm Circular Filter Professional Kit, Including HUC UV Filter, Ti Enhance CPL, Natural Night Filter, ND1000(10 stops) and ";128;249,00;22;5;;2025-03-14;2025-03-14;;;;;
;253618;Fotografia;"Filtri Fotografici";"NiSi 82mm Kit Filtri Circolari ND Filter Kit, Including ND8(3 stops), ND64(6 stops)+CPL, ND1000(10 stops) and Filter Pouch";122;149,00;22;5;;2025-03-05;2025-03-05;;;;;
;253530;Fotografia;"Filtri Fotografici";"NiSi C5 Matte Box Cinema Kit – C5 Mattebox, Filtro vassoio True Color 1 – 5 filtri VND True Color Rotating PL, 4 filtri 5.65 FS ";132;699,00;22;5;;2025-02-26;2025-02-26;;;;;
;253537;Fotografia;"Filtri Fotografici";"NiSi C5 Matte Box Filmmaker Kit – C5 Mattebox, Filtro vassoio True Color 1 – 5 filtri VND 4 filtri 5.65 FS ND16, 4 filtri Black ";132;569,00;22;0;;2025-02-26;2025-02-26;;;;;
;253553;Fotografia;"Filtri Fotografici";"NiSi C5 Matte Box Starter Kit – C5 Matte Box, vassoio filtro e anello adattatore, compatibile con obiettivo fotocamera da 67 mm/";130;199,00;22;5;;2025-02-26;2025-02-26;;;;;
;253548;Fotografia;"Filtri Fotografici";"NiSi Cinema 4x5.65 ND 1.5 | Filtro per lenti a densità neutra 5-stop per scatole opache 4x5.65 | Fotografia e videografia";122;245,00;22;5;;2025-02-26;2025-02-26;;;;;
;253549;Fotografia;"Filtri Fotografici";"NiSi Cinema 4x5.65 True Color Polarizzatore Lineare | Filtro Lente Polarizzatore per Scatole Opache 4x5.65 | Fotografia e Videog";128;245,00;22;0;;2025-02-26;2025-02-26;;;;;
;253560;Fotografia;"Filtri Fotografici";"NiSi Cinema Allure Streak - Filtro circolare circolare rotante per effetto speciale, 82 mm, colore: Blu";103;119,00;22;5;;2025-02-26;2025-02-26;;;;;
;253468;Fotografia;"Filtri Fotografici";"NiSi Contenitore porta filtri per filtro circolare, nero, 8 Filter Pockets Up to 95mm (Version II), Organizer tascabile";119;29,00;22;5;;2025-02-24;2025-02-24;;;;;
;253542;Fotografia;"Filtri Fotografici";"NiSi Extreme Kit con 4 Filtri ND e Accessori - Kit Filtri ND 100mm con ND8, ND64, ND1000, ND32000, 1x NiSi Custodia per 4 Filtri";128;439,00;22;5;;2025-02-26;2025-02-26;;;;;
;253858;Fotografia;"Filtri Fotografici";"NiSi Filtro 55mm UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, ultra duro, Nano Coating";106;23,99;22;5;;2025-03-14;2025-03-14;;;;;
;253635;Fotografia;"Filtri Fotografici";"NiSi Filtro 77mm Armor FX PRO Nano L395 UV, blocco ultravioletto, resistente agli urti, filtro di protezione delle lenti - Vetro";128;82,00;22;0;;2025-03-05;2025-03-05;;;;;
;253703;Fotografia;"Filtri Fotografici";"NiSi Filtro 95 mm 1/8 Densità Circolare Nero Mist | Filtro Lente Effetto Nebbia per Fotografia e Videografia";109;109,00;22;5;;2025-03-10;2025-03-10;;;;;
;253645;Fotografia;"Filtri Fotografici";"NiSi Filtro Armor FX PRO Nano L395 UV 82mm - Resistente agli urti, blocco ultravioletto, protezione dell'obiettivo, vetro ottico";128;89,00;22;0;;2025-03-05;2025-03-05;;;;;
;253698;Fotografia;"Filtri Fotografici";"NiSi Filtro Black Mist 1/4 | 82mm per Sistema Swift | senza filettatura da installare a pressione con Anello Swift o sopra VND T";128;109,00;22;0;;2025-03-08;2025-03-08;;;;;
;253699;Fotografia;"Filtri Fotografici";"NiSi Filtro Black Mist 1/4 | 95mm per Sistema Swift | senza filettatura da installare a pressione con Anello Swift o sopra VND T";128;129,00;22;5;;2025-03-08;2025-03-08;;;;;
;253538;Fotografia;"Filtri Fotografici";"NiSi Filtro Cellulare iPhone fotocamera Filter Kit / Mobile Phone Lens Camera Filter for iOS iPhone Smartphone - Cinema Filter K";128;199,00;22;5;;2025-02-26;2025-02-26;;;;;
;253491;Fotografia;"Filtri Fotografici";"NiSi Filtro Circolare 112mm True Color Pro Nano CPL Filtro per Nikon Z 14-24mm f/2.8S";85;199,00;22;5;;2025-02-24;2025-02-24;;;;;
;253646;Fotografia;"Filtri Fotografici";"NiSi Filtro Circolare 72mm Circular Filter ND Filter Kit, Including ND8(3 stops), ND64(6 stops)+CPL, ND1000(10 stops) e Borsa Po";128;129,00;22;5;;2025-03-05;2025-03-05;;;;;
;253484;Fotografia;"Filtri Fotografici";"NiSi Filtro circolare UV UHC da 49 mm con panno di pulizia – vetro bianco acqua, rivestimento ultra duro con trasmissione della ";130;21,99;22;5;;2025-02-24;2025-02-24;;;;;
;253868;Fotografia;"Filtri Fotografici";"NiSi Filtro di diffusione Black Mist 1/8 da 49 mm - Filtro effetto Promist (apertura 1/8)";89;63,00;22;5;;2025-03-14;2025-03-14;;;;;
;253571;Fotografia;"Filtri Fotografici";"NiSi Filtro GND 1.2 4 Stop 150X170mm Medio (16) Filtro IR graduato multistrato a densità neutra";96;185,00;22;5;;2025-02-28;2025-02-28;;;;;
;253527;Fotografia;"Filtri Fotografici";"NiSi Filtro GND Nano IR 1.5 Soft Edge Filter (5-Stops) 100X150mm Nano Multicoated Graduated IR Neutral Density";110;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253524;Fotografia;"Filtri Fotografici";"NiSi Filtro GND Nano IR 100X150mm Nano Multicoated Graduated IR Neutral Density 0.9 Reverse Edge Filter (3-Stops)";113;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253535;Fotografia;"Filtri Fotografici";"NiSi Filtro GND Nano IR 150x170mm 0.9 (3 Stop) Medium GND (Grad ND) Filter - GND8 Multicoated IR in Optical Glass";113;185,00;22;5;;2025-02-26;2025-02-26;;;;;
;253572;Fotografia;"Filtri Fotografici";"NiSi Filtro GND16 1.2 4 Stop REVERSE 150X170mm Nano Multicoated Graduato IR Neutral Density 1.5 Soft Edge Filter";112;185,00;22;0;;2025-02-28;2025-02-28;;;;;
;253598;Fotografia;"Filtri Fotografici";"NiSi Filtro GND4 0.6 Soft (2-Stop) 100X150mm Nano Multicoated Graduated IR Neutral Density 0.6 Soft Edge Filter (2-Stops)";121;109,00;22;5;;2025-03-04;2025-03-04;;;;;
;253554;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 2 stop (0.6) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253519;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 stop (0.9) Hard 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";99;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253513;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 stop (0.9) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-25;2025-02-25;;;;;
;253514;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 stop (0.9) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253517;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 Stop (0.9) Soft 100x150mm con Nano Coating, Trattamento Anti-IR, Vetro Ottico";104;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253521;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 4 stop (1.2) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253596;Fotografia;"Filtri Fotografici";"NiSi Filtro graduato ND (2-Stop) 0,6 75 x 100 mm M75 Nano IR Soft Graduated Neutral Density Filter";98;79,00;22;5;;2025-03-03;2025-03-03;;;;;
;253561;Fotografia;"Filtri Fotografici";"NiSi Filtro IR GND16 150X170mm Nano Multicoated Graduato IR Neutral Density 1.2 Soft Edge Filter (4-Stop)";105;185,00;22;5;;2025-02-26;2025-02-26;;;;;
;253638;Fotografia;"Filtri Fotografici";"NiSi Filtro IR rivestito ND Filter vetro ottico, filtro a densità neutra, 100X100mm IR ND32000(4.5) 15 Stops super stopper";123;109,00;22;5;;2025-03-05;2025-03-05;;;;;
;253552;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND1000K (6.0) 20 Stop, 100X100mm, nano coating, rivestimento IR, Black Hole, Vetro Ottico";120;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253556;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND128 (2.1) 7 Stop, 100X100mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";121;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253532;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND16 (1.2) 4 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";104;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253557;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND2000 (3.3) 11 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";107;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253526;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND256 (2.4) 8 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";105;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253555;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND32 (1.5) 5 Stop, 100X100mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";120;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253543;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND4 (0.6) 2 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";103;109,00;22;5;;2025-02-26;2025-02-26;;;;;
;253574;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND500 (2.7) 9 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";105;109,00;22;5;;2025-02-28;2025-02-28;;;;;
;253511;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND64 (1.8) 6 Stop, 100X100mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";120;109,00;22;5;;2025-02-25;2025-02-25;;;;;
;253529;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND64 (1.8) 6 Stop, 150X150mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";120;185,00;22;0;;2025-02-26;2025-02-26;;;;;
;253518;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND8 (0.9) 3 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";103;109,00;22;0;;2025-02-26;2025-02-26;;;;;
;253531;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND8 (0.9) 3 Stop, 150X150mm, nano coating, rivestimento IR, Vetro Ottico";103;185,00;22;0;;2025-02-26;2025-02-26;;;;;
;253856;Fotografia;"Filtri Fotografici";"NiSi Filtro ND True Color Variable da 43 mm, per 1-5 diaframmi (ND2-ND32) VND Vario ND";86;129,00;22;5;;2025-03-14;2025-03-14;;;;;
;253467;Fotografia;"Filtri Fotografici";"NiSi Filtro ND VND VND True Color da 1 a 5 diaframmi ND-Vario variabile, 67 mm (ND2-ND32)";89;149,00;22;0;;2025-02-24;2025-02-24;;;;;
;253624;Fotografia;"Filtri Fotografici";"NiSi Filtro ND VND VND True Color da 55 mm - 1-5 diaframmi ND-Vario variabile (ND2-ND32)";88;149,00;22;5;;2025-03-05;2025-03-05;;;;;
;253845;Fotografia;"Filtri Fotografici";"NiSi Filtro ND32000 (15 Stop) 67mm PRO Nano HUC IR (Vetro Ottico, Altissima Neutralità e Nano® Coating)";105;72,00;22;5;;2025-03-14;2025-03-14;;;;;
;253863;Fotografia;"Filtri Fotografici";"NiSi Filtro ND8 (3 Stop) 72mm PRO Nano HUC IR, Vetro Ottico, Ultra Sottile, Coating Resistente a Olio e Acqua";109;49,00;22;5;;2025-03-14;2025-03-14;;;;;
;253488;Fotografia;"Filtri Fotografici";"NiSi Filtro ND8 (3 Stop) 77mm PRO Nano HUC IR, Vetro Ottico, Ultra Sottile, Coating Resistente a Olio e Acqua";109;52,00;22;0;;2025-02-24;2025-02-24;;;;;
;253622;Fotografia;"Filtri Fotografici";"NiSi Filtro ND8 (3 Stop) 82mm PRO Nano HUC IR, Vetro Ottico, Ultra Sottile, Coating Resistente a Olio e Acqua";109;55,00;22;0;;2025-03-05;2025-03-05;;;;;
;253875;Fotografia;"Filtri Fotografici";"NiSi Filtro per Fuji XA70 X100V X100T X100F X100S X100-49mm Allure Soft Filter Nero";83;44,90;22;5;;2025-03-14;2025-03-14;;;;;
;253861;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare 67mm True Color CPL per sistema VND e Swift True Color";90;99,90;22;0;;2025-03-14;2025-03-14;;;;;
;253873;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare da 67 mm UHC CPL, con rivestimento ultra rigido";83;29,99;22;5;;2025-03-14;2025-03-14;;;;;
;253874;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare da 72mm UHC CPL, con rivestimento ultra rigido";82;32,99;22;5;;2025-03-14;2025-03-14;;;;;
;253867;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO Slim Nano Coating (62mm)";85;67,00;22;5;;2025-03-14;2025-03-14;;;;;
;253652;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO SLIM Nano Coating (67mm)";85;70,00;22;5;;2025-03-05;2025-03-05;;;;;
;253847;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO Slim Nano Coating (72mm)";85;76,00;22;5;;2025-03-14;2025-03-14;;;;;
;253634;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO Slim Nano Coating (77mm)";85;79,00;22;0;;2025-03-05;2025-03-05;;;;;
;253485;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO Slim Nano Coating (82mm)";85;86,00;22;0;;2025-02-24;2025-02-24;;;;;
;253606;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare True Color CPL per 82mm True Color VND e Swift System | sistema di filtri circolari Swift | ";128;129,90;22;5;;2025-03-04;2025-03-04;;;;;
;253857;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare True Color CPL per sistema VND e Swift True Color da 95 mm";94;169,90;22;5;;2025-03-14;2025-03-14;;;;;
;253627;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare True Color CPL per VND e Swift da 77 mm | sistema di filtraggio circolare Swift | Fotografia";128;119,90;22;5;;2025-03-05;2025-03-05;;;;;
;253644;Fotografia;"Filtri Fotografici";"NiSi Filtro PRO Nano 82mm IR Filtro ND64 6 Stop + Polarizzatore CPL Integrato in Un Unico Filtro";96;115,00;22;0;;2025-03-05;2025-03-05;;;;;
;253755;Fotografia;"Filtri Fotografici";"NiSi Filtro Pro Nano IR ND64 6 Stop + Polarizzatore CPL integrato in un unico filtro (72 mm)";92;95,00;22;0;;2025-03-10;2025-03-10;;;;;
;253641;Fotografia;"Filtri Fotografici";"NiSi Filtro Pro Nano IR ND64 6 Stop + Polarizzatore CPL integrato in un unico filtro (77 mm)";92;103,00;22;0;;2025-03-05;2025-03-05;;;;;
;253690;Fotografia;"Filtri Fotografici";"NiSi Filtro Protettivo 52mm UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coati";128;22,99;22;0;;2025-03-06;2025-03-06;;;;;
;253629;Fotografia;"Filtri Fotografici";"NiSI Filtro Protettivo UHC UV (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ";129;24,99;22;0;;2025-03-05;2025-03-05;;;;;
;253697;Fotografia;"Filtri Fotografici";"NiSi Filtro Swift Black Mist 1/8 82mm., Swift System, a pressione montati a attrito, vetro ottico, rivestimento nano impermeabil";128;109,00;22;0;;2025-03-06;2025-03-06;;;;;
;253751;Fotografia;"Filtri Fotografici";"NiSi Filtro UV Armor FX 62 mm – Filtro di protezione UV a prova di esplosione, filtro obiettivo con rivestimento nano doppio str";130;65,00;22;0;;2025-03-10;2025-03-10;;;;;
;253859;Fotografia;"Filtri Fotografici";"NiSi Filtro UV Armor FX Pro Nano Coating L395 Protezione antideflagrante per obiettivo 67mm";91;69,00;22;0;;2025-03-14;2025-03-14;;;;;
;253483;Fotografia;"Filtri Fotografici";"NiSi Filtro UV HUC (62mm) (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ultr";129;25,99;22;5;;2025-02-24;2025-02-24;;;;;
;253464;Fotografia;"Filtri Fotografici";"NiSi Filtro UV HUC (rivestimento ultra duro), 18 rivestimenti multistrato UHD, rivestimento nano ultra duro, idrofobo, resistent";128;28,99;22;5;;2025-02-24;2025-02-24;;;;;
;253855;Fotografia;"Filtri Fotografici";"NiSi Filtro UV IR Cut 82mm per Sistema Swift | senza filettatura, a pressione con Anello Swift o sopra VND True Color 1-5 Stop";126;109,00;22;5;;2025-03-14;2025-03-14;;;;;
;253469;Fotografia;"Filtri Fotografici";"NiSi HUC PRO Nano IR ND1000 filtro circolare da 77 mm | Filtro obiettivo fotocamera a densità neutra 10-stop | Vetro ottico, riv";129;52,00;22;5;;2025-02-24;2025-02-24;;;;;
;253470;Fotografia;"Filtri Fotografici";"NiSi HUC PRO Nano IR ND1000 filtro circolare da 82 mm | Filtro obiettivo fotocamera a densità neutra 10-stop | Vetro ottico, riv";129;55,00;22;5;;2025-02-24;2025-02-24;;;;;
;253492;Fotografia;"Filtri Fotografici";"NiSi JetMag - Kit di filtri magnetici Pro da 82 mm con bloccaggio, kit filtro ND orizzontale (FS ND8, FS ND64, FS ND1000, True C";128;429,90;22;5;;2025-02-24;2025-02-24;;;;;
;253495;Fotografia;"Filtri Fotografici";"NiSi JetMag Pro 82MAG - Tappo posteriore magnetico resistente per filtri da 82 MAG, attacco rapido e chiusura sicura, design sot";128;34,90;22;5;;2025-02-24;2025-02-24;;;;;
;253503;Fotografia;"Filtri Fotografici";"NiSi JetMag Pro 82MAG FS ND1000 - Filtro magnetico a densità neutra a spettro completo 10 stop (3.0) - Vetro ottico nano rivesti";129;79,90;22;5;;2025-02-25;2025-02-25;;;;;
;253501;Fotografia;"Filtri Fotografici";"NiSi JetMag Pro 82MAG Natural Night - Filtro magnetico per la riduzione dell''inquinamento luminoso per fotografia notturna e as";128;89,90;22;5;;2025-02-25;2025-02-25;;;;;
;253502;Fotografia;"Filtri Fotografici";"NiSi JetMag Pro Kit filtro magnetico da 82 mm con blocco - Capture Kit (filtro UV NC, True Color CPL, anello adattatore magnetic";128;294,90;22;5;;2025-02-25;2025-02-25;;;;;
;253752;Fotografia;"Filtri Fotografici";"NiSi Kit FIltri 67mm Circular Filter Long Exposure Kit, Including ND8(3 stops), ND64(6 stops)+CPL, ND1000(10 stops), ND32000(15 ";128;155,00;22;5;;2025-03-10;2025-03-10;;;;;
;253636;Fotografia;"Filtri Fotografici";"NiSi Kit Filtri ND Circolari - 67mm - Include ND8 (3 stops), ND64 + CPL (6 Stop+CPL Filtro 2in1), ND1000 (10 stops) e Custodia";126;119,00;22;5;;2025-03-05;2025-03-05;;;;;
;253617;Fotografia;"Filtri Fotografici";"NiSi Kit Filtri ND Circolari 77mm, con ND8 (3 Stop), ND64+CPL (6 Stop), ND1000 (10 Stop), Accessori e Custodia";110;139,00;22;0;;2025-03-05;2025-03-05;;;;;
;253619;Fotografia;"Filtri Fotografici";"NiSi Kit Filtri Swift System 1-9 VND da 77 mm | Filtro a densità neutra variabile True Color da 1 a 5 stop con ND16 montato ad a";129;269,90;22;0;;2025-03-05;2025-03-05;;;;;
;253637;Fotografia;"Filtri Fotografici";"NiSi Kit Filtri Swift True Color VND 67mm 1-5 & 5-9 Stop (1-9 Stop totali) | Filtro ND-Vario 1-5 Stops + ND 4 Stop per effetto 5";128;234,90;22;0;;2025-03-05;2025-03-05;;;;;
;253628;Fotografia;"Filtri Fotografici";"NiSi Kit Filtri Swift VND Mist Kit da 77 mm – True Colour 1 – 5 apertura variabile ND filtro + filtro ND16 (4 aperture) a densit";132;364,90;22;5;;2025-03-05;2025-03-05;;;;;
;253877;Fotografia;"Filtri Fotografici";"NiSi Kit Filtri True Color VND 95mm 1-5 & 5-9 Stop (1-9 Stop totali) Kit Swift | Filtro ND-Vario 1-5 Stops + ND 4 Stop per effet";128;349,90;22;0;;2025-03-14;2025-03-14;;;;;
;253630;Fotografia;"Filtri Fotografici";"NiSI Kit Filtro circolare da 77 mm per lunga esposizione, inclusi ND8 (3 stop), ND64 (6 stop) + CPL, ND1000 (10 stop), ND32000 (";128;175,00;22;5;;2025-03-05;2025-03-05;;;;;
;253689;Fotografia;"Filtri Fotografici";"NiSi Kit filtro fotocamera per cellulare / obiettivo fotocamera per iOS iPhone Smartphone – Filmmaker kit filtri";114;149,00;22;0;;2025-03-06;2025-03-06;;;;;
;253862;Fotografia;"Filtri Fotografici";"NiSi Kit filtro per Fuji FUJIFILM X70 / X100 / X100S / X100F / X100T / X100V – Starter Kit (1 filtro graduato medio + 1 filtro p";130;49,90;22;5;;2025-03-14;2025-03-14;;;;;
;253607;Fotografia;"Filtri Fotografici";"NiSi Kit Filtro Swift VND da 82 mm – True Color 1 – 5 pannelli filtro ND variabile + ND16 (4 diaframmi) neutro";114;289,90;22;0;;2025-03-04;2025-03-04;;;;;
