Sel;ID;Cat;Subcat;Nome;Len;Prezzo;Iva;"Dispo gg.";"In Ordine";Insert;Uscita;Promo_Cod;Promo_Desc;Promo_Scad;Link;NuovaDescrizione
;253466;Fotografia;"Filtri Fotografici";"Filtro UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ultra-sottile re";129;26,99;22;5;;2025-02-24;2025-02-24;;;;;;"UV Filter HUC, 18-layer UHD Nano Coating, ultra-durable & super-thin."
;253471;Fotografia;"Filtri Fotografici";"Filtro UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ultra-sottile re";129;29,99;22;5;;2025-02-24;2025-02-24;;;;;;"UV HUC Filter with 18 multilayer UHD coating & Nano Coating®, ultra-thin type"
;253475;Fotografia;"Filtri Fotografici";"Filtro UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, rivestimento ultra duro, Nano Coating®, ultra-sottile re";129;27,99;22;5;;2025-02-24;2025-02-24;;;;;;"UV HUC Filter with 18-layer UHD, ultra-hard coating, Nano Coating®, super thin"
;253550;Fotografia;"Filtri Fotografici";"NiSi - Filtro circolare naturale notturno 112 mm per Nikon Z 14-24 mm f/2.8S (filtro di inquinamento della luce)";112;199,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi 112mm NL Night Filter for Nikon Z 14-24mm f/2.8S (light pollution filter)"
;253493;Fotografia;"Filtri Fotografici";"NiSi - JetMag Pro 82MAG Lens Front Cap - Lente magnetica durevole e protezione filtro per filtri di dimensioni 82MAG - Attacco r";128;34,90;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi JetMag Pro 82MAG Lens Cap - Durable mag filter protector for 82MAG threads"
;253496;Fotografia;"Filtri Fotografici";"NiSi - JetMag Pro 82MAG True Color CPL, filtro magnetico circolare polarizzatore lente - Vetro ottico nano rivestito, telaio in ";128;99,90;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi JetMag Pro 82MAG CPL, filtro circolare magnetico, vetro nano coating, frame in"
;253756;Fotografia;"Filtri Fotografici";"NiSi 67mm Circular Starter Filter Kit, Including HUC UV Filter, HUC CPL and Filter Pouch";88;95,00;22;5;;2025-03-10;2025-03-10;;;;;;"NiSi 67mm Starter Filter Kit: UV, CPL, & Pouch Included"
;253860;Fotografia;"Filtri Fotografici";"NiSi 77mm Circular Filter Professional Kit, Including HUC UV Filter, Ti Enhance CPL, Natural Night Filter, ND1000(10 stops) and ";128;249,00;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi 77mm Pro Kit: HUC UV, Ti CPL, Night Filter, ND1000 (10 stops)"
;253618;Fotografia;"Filtri Fotografici";"NiSi 82mm Kit Filtri Circolari ND Filter Kit, Including ND8(3 stops), ND64(6 stops)+CPL, ND1000(10 stops) and Filter Pouch";122;149,00;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi 82mm Circular Filter Kit: ND8, ND64+CPL, ND1000 + Pouch"
;253530;Fotografia;"Filtri Fotografici";"NiSi C5 Matte Box Cinema Kit – C5 Mattebox, Filtro vassoio True Color 1 – 5 filtri VND True Color Rotating PL, 4 filtri 5.65 FS ";132;699,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi C5 Kit: Mattebox, filtri colorati, VND 1-5, rotante PL, filtri 4x5.65"
;253537;Fotografia;"Filtri Fotografici";"NiSi C5 Matte Box Filmmaker Kit – C5 Mattebox, Filtro vassoio True Color 1 – 5 filtri VND 4 filtri 5.65 FS ND16, 4 filtri Black ";132;569,00;22;0;;2025-02-26;2025-02-26;;;;;;"NiSi C5 Matte Kit: mattebox, filtro True Color, 5 filtri (VND & ND), nero"
;253553;Fotografia;"Filtri Fotografici";"NiSi C5 Matte Box Starter Kit – C5 Matte Box, vassoio filtro e anello adattatore, compatibile con obiettivo fotocamera da 67 mm/";130;199,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi C5 Matte Box Kit – C5, filter tray, adapter ring, fits 67mm lens"
;253548;Fotografia;"Filtri Fotografici";"NiSi Cinema 4x5.65 ND 1.5 | Filtro per lenti a densità neutra 5-stop per scatole opache 4x5.65 | Fotografia e videografia";122;245,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi 4x5.65 ND 1.5 Filter for neutral density, 5-stop, for photo/video."
;253549;Fotografia;"Filtri Fotografici";"NiSi Cinema 4x5.65 True Color Polarizzatore Lineare | Filtro Lente Polarizzatore per Scatole Opache 4x5.65 | Fotografia e Videog";128;245,00;22;0;;2025-02-26;2025-02-26;;;;;;"NiSi Cinema 4x5.65 Polarizer | Filtro Lenti per Scatole Opache 4x5.65 | Foto/Video"
;253560;Fotografia;"Filtri Fotografici";"NiSi Cinema Allure Streak - Filtro circolare circolare rotante per effetto speciale, 82 mm, colore: Blu";103;119,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi Cinema Allure Streak 82mm Rotating Filter, Special Effect, Blue"
;253468;Fotografia;"Filtri Fotografici";"NiSi Contenitore porta filtri per filtro circolare, nero, 8 Filter Pockets Up to 95mm (Version II), Organizer tascabile";119;29,00;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi Filter Holder Bag, black, 8 pockets, fits up to 95mm, portable, V2"
;253542;Fotografia;"Filtri Fotografici";"NiSi Extreme Kit con 4 Filtri ND e Accessori - Kit Filtri ND 100mm con ND8, ND64, ND1000, ND32000, 1x NiSi Custodia per 4 Filtri";128;439,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi Extreme Kit: 4x ND filters (8,64,1000,32000) + accessories + case"
;253858;Fotografia;"Filtri Fotografici";"NiSi Filtro 55mm UV HUC (Ultra Hard Coating) con 18 rivestimenti multistrato UHD, ultra duro, Nano Coating";106;23,99;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi 55mm UV HUC filter with 18-layer UHD Nano coating, super tough."
;253635;Fotografia;"Filtri Fotografici";"NiSi Filtro 77mm Armor FX PRO Nano L395 UV, blocco ultravioletto, resistente agli urti, filtro di protezione delle lenti - Vetro";128;82,00;22;0;;2025-03-05;2025-03-05;;;;;;"NiSi 77mm Armor FX PRO Nano L395 UV, UV filter, shock-resistant, lens protector."
;253703;Fotografia;"Filtri Fotografici";"NiSi Filtro 95 mm 1/8 Densità Circolare Nero Mist | Filtro Lente Effetto Nebbia per Fotografia e Videografia";109;109,00;22;5;;2025-03-10;2025-03-10;;;;;;"NiSi 95mm Circular ND8 Filter Black Mist for Photos & Videos"
;253645;Fotografia;"Filtri Fotografici";"NiSi Filtro Armor FX PRO Nano L395 UV 82mm - Resistente agli urti, blocco ultravioletto, protezione dell'obiettivo, vetro ottico";128;89,00;22;0;;2025-03-05;2025-03-05;;;;;;"NiSi Armor FX PRO Nano L395 UV 82mm - Dura, blocca UV, proteggi lente, vetro ottico"
;253698;Fotografia;"Filtri Fotografici";"NiSi Filtro Black Mist 1/4 | 82mm per Sistema Swift | senza filettatura da installare a pressione con Anello Swift o sopra VND T";128;109,00;22;0;;2025-03-08;2025-03-08;;;;;;"NiSi Black Mist 1/4, 82mm, for Swift System, press-fit w/ Swift ring or VND T"
;253699;Fotografia;"Filtri Fotografici";"NiSi Filtro Black Mist 1/4 | 95mm per Sistema Swift | senza filettatura da installare a pressione con Anello Swift o sopra VND T";128;129,00;22;5;;2025-03-08;2025-03-08;;;;;;"NiSi Black Mist 1/4 95mm, per Swift; snap-on, senza filettature, usa anello o VND."
;253538;Fotografia;"Filtri Fotografici";"NiSi Filtro Cellulare iPhone fotocamera Filter Kit / Mobile Phone Lens Camera Filter for iOS iPhone Smartphone - Cinema Filter K";128;199,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi iPhone Cell Filter Kit / Phone Lens Camera Filter for iOS - Cinema Filter K"
;253491;Fotografia;"Filtri Fotografici";"NiSi Filtro Circolare 112mm True Color Pro Nano CPL Filtro per Nikon Z 14-24mm f/2.8S";85;199,00;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi 112mm CPL Filtro Nano True Color Pro per Nikon Z 14-24mm f/2.8S"
;253646;Fotografia;"Filtri Fotografici";"NiSi Filtro Circolare 72mm Circular Filter ND Filter Kit, Including ND8(3 stops), ND64(6 stops)+CPL, ND1000(10 stops) e Borsa Po";128;129,00;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi 72mm Circular Filter Kit: ND8, ND64+CPL, ND1000 + Bag"
;253484;Fotografia;"Filtri Fotografici";"NiSi Filtro circolare UV UHC da 49 mm con panno di pulizia – vetro bianco acqua, rivestimento ultra duro con trasmissione della ";130;21,99;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi UV UHC Circolare 49mm + Panno - vetro bianco acqua, rivestimento ultra duro"
;253868;Fotografia;"Filtri Fotografici";"NiSi Filtro di diffusione Black Mist 1/8 da 49 mm - Filtro effetto Promist (apertura 1/8)";89;63,00;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi Black Mist 1/8 Filter 49mm – Soft Diffusion Effect"
;253571;Fotografia;"Filtri Fotografici";"NiSi Filtro GND 1.2 4 Stop 150X170mm Medio (16) Filtro IR graduato multistrato a densità neutra";96;185,00;22;5;;2025-02-28;2025-02-28;;;;;;"NiSi GND 1.2 4 Stop 150×170mm ND IR multi-coat filter"
;253527;Fotografia;"Filtri Fotografici";"NiSi Filtro GND Nano IR 1.5 Soft Edge Filter (5-Stops) 100X150mm Nano Multicoated Graduated IR Neutral Density";110;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND Nano IR 1.5 Soft Edge Filter (5 stops) 100x150mm, Multicoated ND"
;253524;Fotografia;"Filtri Fotografici";"NiSi Filtro GND Nano IR 100X150mm Nano Multicoated Graduated IR Neutral Density 0.9 Reverse Edge Filter (3-Stops)";113;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND Nano IR 100×150mm, Multi-IR ND 0.9, Reverse Edge Filter"
;253535;Fotografia;"Filtri Fotografici";"NiSi Filtro GND Nano IR 150x170mm 0.9 (3 Stop) Medium GND (Grad ND) Filter - GND8 Multicoated IR in Optical Glass";113;185,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND Nano IR 150x170mm 0.9 (3 Stop) Grad ND Filter, Multicoated IR Glass"
;253572;Fotografia;"Filtri Fotografici";"NiSi Filtro GND16 1.2 4 Stop REVERSE 150X170mm Nano Multicoated Graduato IR Neutral Density 1.5 Soft Edge Filter";112;185,00;22;0;;2025-02-28;2025-02-28;;;;;;"NiSi GND16 1.2 4 Stop REVERSE 150x170mm Nano Coated IR ND1.5 Soft Edge"
;253598;Fotografia;"Filtri Fotografici";"NiSi Filtro GND4 0.6 Soft (2-Stop) 100X150mm Nano Multicoated Graduated IR Neutral Density 0.6 Soft Edge Filter (2-Stops)";121;109,00;22;5;;2025-03-04;2025-03-04;;;;;;"NiSi GND4 0.6 Soft 100x150mm Nano Coated Grad IR ND (2-Stops)"
;253554;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 2 stop (0.6) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND 2 Stop (0.6) Filter 100x150mm with Nano Coating & IR Glass"
;253519;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 stop (0.9) Hard 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";99;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND 3 stop (0.9) Hard 100x150mm, Nano Coating, IR, Optical Glass"
;253513;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 stop (0.9) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-25;2025-02-25;;;;;;"NiSi 0.9 GND Filter 100x150mm, Nano Coating, IR Treatment, Optical Glass"
;253514;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 stop (0.9) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND 3 Stop (0.9) Medium 100x150mm, Nano Coating, IR, Optical Glass"
;253517;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 3 Stop (0.9) Soft 100x150mm con Nano Coating, Trattamento Anti-IR, Vetro Ottico";104;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND 3 Stop (0.9) Soft 100x150mm, Nano Coating, IR Block, Optical Glass"
;253521;Fotografia;"Filtri Fotografici";"NiSi Filtro Graduato GND 4 stop (1.2) Medium 100x150mm con Nano Coating, trattamento IR, Vetro Ottico";101;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi GND 4 Stop Filter 100x150mm, Nano Coating, IR Treatment, Optical Glass"
;253596;Fotografia;"Filtri Fotografici";"NiSi Filtro graduato ND (2-Stop) 0,6 75 x 100 mm M75 Nano IR Soft Graduated Neutral Density Filter";98;79,00;22;5;;2025-03-03;2025-03-03;;;;;;"NiSi ND Grad (2-stop) 0.6 75x100mm M75 Nano IR Soft Filter"
;253561;Fotografia;"Filtri Fotografici";"NiSi Filtro IR GND16 150X170mm Nano Multicoated Graduato IR Neutral Density 1.2 Soft Edge Filter (4-Stop)";105;185,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi IR GND16 150x170mm Nano Coated Grad ND1.2 Soft Edge Filter (4 Stop)"
;253638;Fotografia;"Filtri Fotografici";"NiSi Filtro IR rivestito ND Filter vetro ottico, filtro a densità neutra, 100X100mm IR ND32000(4.5) 15 Stops super stopper";123;109,00;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi IR ND Filter, glass, 100x100mm, ND32000 (4.5), 15 stops, super stopper"
;253552;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND1000K (6.0) 20 Stop, 100X100mm, nano coating, rivestimento IR, Black Hole, Vetro Ottico";120;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi ND1000K 6.0 20 Stop, 100x100mm, nano-coating, IR, Black Hole, glass"
;253556;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND128 (2.1) 7 Stop, 100X100mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";121;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi ND128 7 Stop, 100x100mm, nano e IR coat, Little Stopper, vetro"
;253532;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND16 (1.2) 4 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";104;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi ND16 1.2 (4Stop), 100x100mm, nano e IR coating, vetro ottico"
;253557;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND2000 (3.3) 11 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";107;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi ND2000 (3.3) 11 stops, 100x100mm, nano IR coating, optical glass"
;253526;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND256 (2.4) 8 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";105;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi ND256 (2.4) 8-stop, 100x100mm, nano coating, IR glass"
;253555;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND32 (1.5) 5 Stop, 100X100mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";120;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi ND32 1.5, 100x100mm, nanotopping, IR, Little Stopper, vetro"
;253543;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND4 (0.6) 2 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";103;109,00;22;5;;2025-02-26;2025-02-26;;;;;;"NiSi ND4 (0.6) 2 stops 100x100mm, nano coating, IR film, optical glass"
;253574;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND500 (2.7) 9 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";105;109,00;22;5;;2025-02-28;2025-02-28;;;;;;"NiSi ND500 (2.7) 9Stop, 100x100mm, nano coating, IR coating, optical glass"
;253511;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND64 (1.8) 6 Stop, 100X100mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";120;109,00;22;5;;2025-02-25;2025-02-25;;;;;;"NiSi ND64 1.8 (6 stop) 100x100mm, nano+IR coating, Little Stopper, vetro"
;253529;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND64 (1.8) 6 Stop, 150X150mm, nano coating, rivestimento IR, Little Stopper, Vetro Ottico";120;185,00;22;0;;2025-02-26;2025-02-26;;;;;;"NiSi ND64 1.8 (6 stops) 150x150mm, nano, IR coating, Little Stopper, vetro"
;253518;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND8 (0.9) 3 Stop, 100X100mm, nano coating, rivestimento IR, Vetro Ottico";103;109,00;22;0;;2025-02-26;2025-02-26;;;;;;"NiSi ND8 Filter 0.9 3 Stop, 100x100mm, nano Coating, IR Coated, Optical Glass"
;253531;Fotografia;"Filtri Fotografici";"NiSi Filtro ND Densità Neutra ND8 (0.9) 3 Stop, 150X150mm, nano coating, rivestimento IR, Vetro Ottico";103;185,00;22;0;;2025-02-26;2025-02-26;;;;;;"NiSi ND8 Filter (0.9) 3 Stop, 150x150mm, nano coating, IR coating, optical glass"
;253856;Fotografia;"Filtri Fotografici";"NiSi Filtro ND True Color Variable da 43 mm, per 1-5 diaframmi (ND2-ND32) VND Vario ND";86;129,00;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi 43mm True Color Vario ND Filter, 1-5 stops (ND2-ND32) with VND"
;253467;Fotografia;"Filtri Fotografici";"NiSi Filtro ND VND VND True Color da 1 a 5 diaframmi ND-Vario variabile, 67 mm (ND2-ND32)";89;149,00;22;0;;2025-02-24;2025-02-24;;;;;;"NiSi ND VND True Color 1-5 stops, 67mm (ND2-ND32), variable rated"
;253624;Fotografia;"Filtri Fotografici";"NiSi Filtro ND VND VND True Color da 55 mm - 1-5 diaframmi ND-Vario variabile (ND2-ND32)";88;149,00;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi ND Vario 55mm, 1-5 stops, true color, ND2-ND32, variable filter"
;253845;Fotografia;"Filtri Fotografici";"NiSi Filtro ND32000 (15 Stop) 67mm PRO Nano HUC IR (Vetro Ottico, Altissima Neutralità e Nano® Coating)";105;72,00;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi ND32000 15 stop 67mm PRO Nano HUC IR, vetro ottico, neutro, rivestimento Nano"
;253863;Fotografia;"Filtri Fotografici";"NiSi Filtro ND8 (3 Stop) 72mm PRO Nano HUC IR, Vetro Ottico, Ultra Sottile, Coating Resistente a Olio e Acqua";109;49,00;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi ND8 3 Stop 72mm PRO Nano HUC IR, vetro ottico, sottile, rivestimento resistente acq/uor."
;253488;Fotografia;"Filtri Fotografici";"NiSi Filtro ND8 (3 Stop) 77mm PRO Nano HUC IR, Vetro Ottico, Ultra Sottile, Coating Resistente a Olio e Acqua";109;52,00;22;0;;2025-02-24;2025-02-24;;;;;;"NiSi ND8 77mm PRO Nano HUC IR, Vetro ottico, ultra sottile, trattamento oleo/acqua"
;253622;Fotografia;"Filtri Fotografici";"NiSi Filtro ND8 (3 Stop) 82mm PRO Nano HUC IR, Vetro Ottico, Ultra Sottile, Coating Resistente a Olio e Acqua";109;55,00;22;0;;2025-03-05;2025-03-05;;;;;;"NiSi ND8 82mm PRO Nano HUC IR, vetro ottico, ultra sottile, resistente a olio e acqua"
;253875;Fotografia;"Filtri Fotografici";"NiSi Filtro per Fuji XA70 X100V X100T X100F X100S X100-49mm Allure Soft Filter Nero";83;44,90;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi Soft Filter for Fuji X-series, 49mm, Black, X70, X100V/T/F, X100S"
;253861;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare 67mm True Color CPL per sistema VND e Swift True Color";90;99,90;22;0;;2025-03-14;2025-03-14;;;;;;"NiSi 67mm CPL Pol FX for VND & Swift True Color systems"
;253873;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare da 67 mm UHC CPL, con rivestimento ultra rigido";83;29,99;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi 67mm UHC CPL Polarizer with ultra-hard coating"
;253874;Fotografia;"Filtri Fotografici";"NiSi Filtro polarizzatore circolare da 72mm UHC CPL, con rivestimento ultra rigido";82;32,99;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi 72mm UHC CPL Pol Polarizer, ultra-durable coating"
;253867;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO Slim Nano Coating (62mm)";85;67,00;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi CPL Filter, Multi Coated, Slim Nano, 62mm"
;253652;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO SLIM Nano Coating (67mm)";85;70,00;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi CPL Circular Filter 67mm, Multi-Coated, Slim, Nano Coating"
;253847;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO Slim Nano Coating (72mm)";85;76,00;22;5;;2025-03-14;2025-03-14;;;;;;"NiSi 72mm CPL Circular Filter, Multi-Coated, Slim Nano Coating"
;253634;Fotografia;"Filtri Fotografici";"NiSi Filtro Polarizzatore Circolare Multi Coated HUC CPL PRO Slim Nano Coating (77mm)";85;79,00;22;0;;2025-03-05;2025-03-05;;;;;;"NiSi CPL Circolare Multi-Coated HUC PRO Slim 77mm"
